,wall_time,step,value,log_dir,tag,dataset,resolution,model_step,sampler,inference_time,vae,fad_model,reference_dataset
37,1716554200.7973435,0,0.5599756240844727,../hpc_tensorboard/models/ssd_512_128/model_step_40000/samples/sch_ddpm_nisteps_1000,fad_clap-laion-music_ref_spotify_sleep_dataset_gen_None,ssd,"512,128",40000,ddpm,1.894,False,clap-laion-music,spotify_sleep_dataset
38,1716554358.6829383,0,7.165397644042969,../hpc_tensorboard/models/ssd_512_128/model_step_40000/samples/sch_ddpm_nisteps_1000,fad_vggish_ref_spotify_sleep_dataset_gen_None,ssd,"512,128",40000,ddpm,1.894,False,vggish,spotify_sleep_dataset
39,1716554362.903659,0,0.7238542437553406,../hpc_tensorboard/models/ssd_512_128/model_step_40000/samples/sch_ddpm_nisteps_1000,fad_clap-laion-audio_ref_fma_pop_gen_None,ssd,"512,128",40000,ddpm,1.894,False,clap-laion-audio,fma_pop
40,1716554367.1527061,0,0.7980619668960571,../hpc_tensorboard/models/ssd_512_128/model_step_40000/samples/sch_ddpm_nisteps_1000,fad_clap-laion-music_ref_fma_pop_gen_None,ssd,"512,128",40000,ddpm,1.894,False,clap-laion-music,fma_pop
41,1716554371.1201217,0,12.463749885559082,../hpc_tensorboard/models/ssd_512_128/model_step_40000/samples/sch_ddpm_nisteps_1000,fad_vggish_ref_fma_pop_gen_None,ssd,"512,128",40000,ddpm,1.894,False,vggish,fma_pop
42,1716554374.7863383,0,0.711954653263092,../hpc_tensorboard/models/ssd_512_128/model_step_40000/samples/sch_ddpm_nisteps_1000,fad_clap-laion-audio_ref_musiccaps_gen_None,ssd,"512,128",40000,ddpm,1.894,False,clap-laion-audio,musiccaps
43,1716554378.5890145,0,0.7823582887649536,../hpc_tensorboard/models/ssd_512_128/model_step_40000/samples/sch_ddpm_nisteps_1000,fad_clap-laion-music_ref_musiccaps_gen_None,ssd,"512,128",40000,ddpm,1.894,False,clap-laion-music,musiccaps
44,1716554381.9565108,0,16.258113861083984,../hpc_tensorboard/models/ssd_512_128/model_step_40000/samples/sch_ddpm_nisteps_1000,fad_vggish_ref_musiccaps_gen_None,ssd,"512,128",40000,ddpm,1.894,False,vggish,musiccaps
45,1716553960.6130836,0,0.6571530103683472,../hpc_tensorboard/models/ssd_512_128/model_step_40000/samples/sch_ddim_nisteps_100,fad_clap-laion-audio_ref_spotify_sleep_dataset_gen_None,ssd,"512,128",40000,ddim,0.187,False,clap-laion-audio,spotify_sleep_dataset
46,1716554190.8405833,0,0.6086317896842957,../hpc_tensorboard/models/ssd_512_128/model_step_40000/samples/sch_ddim_nisteps_100,fad_clap-laion-music_ref_spotify_sleep_dataset_gen_None,ssd,"512,128",40000,ddim,0.187,False,clap-laion-music,spotify_sleep_dataset
47,1716554369.0180006,0,6.279850006103516,../hpc_tensorboard/models/ssd_512_128/model_step_40000/samples/sch_ddim_nisteps_100,fad_vggish_ref_spotify_sleep_dataset_gen_None,ssd,"512,128",40000,ddim,0.187,False,vggish,spotify_sleep_dataset
