,wall_time,step,value,dataset,resolution,model_step,sampler,fad_model,reference_dataset
96,1716266852.800068,0,24.89484977722168,ds,"64,64",40000,ddpm,MERT-v1-95M,drum_samples
97,1716266855.6049933,0,1.1483068466186523,ds,"64,64",40000,ddpm,clap-laion-audio,fma_pop
98,1716266858.417822,0,1.1074788570404053,ds,"64,64",40000,ddpm,clap-laion-music,fma_pop
99,1716266878.816751,0,117.59915161132812,ds,"64,64",40000,ddpm,encodec-emb-48k,fma_pop
100,1716266881.2546275,0,799.3551635742188,ds,"64,64",40000,ddpm,encodec-emb,fma_pop
101,1716266884.4873233,0,61.04254913330078,ds,"64,64",40000,ddpm,MERT-v1-95M,fma_pop
102,1716266887.175609,0,1.1095885038375854,ds,"64,64",40000,ddpm,clap-laion-audio,musiccaps
103,1716266889.897392,0,1.0745158195495605,ds,"64,64",40000,ddpm,clap-laion-music,musiccaps
104,1716266910.2818103,0,85.56604766845703,ds,"64,64",40000,ddpm,encodec-emb-48k,musiccaps
105,1716266912.6407518,0,640.6778564453125,ds,"64,64",40000,ddpm,encodec-emb,musiccaps
106,1716266915.8002026,0,52.97846221923828,ds,"64,64",40000,ddpm,MERT-v1-95M,musiccaps
107,1716266788.612353,0,0.23689718544483185,ds,"64,64",40000,ddim,clap-laion-audio,drum_samples
108,1716266797.7030544,0,0.2765161097049713,ds,"64,64",40000,ddim,clap-laion-music,drum_samples
109,1716266832.0502741,0,11.686080932617188,ds,"64,64",40000,ddim,encodec-emb-48k,drum_samples
110,1716266841.0068483,0,47.074668884277344,ds,"64,64",40000,ddim,encodec-emb,drum_samples
111,1716266855.5993333,0,24.08778190612793,ds,"64,64",40000,ddim,MERT-v1-95M,drum_samples
112,1716266858.4956386,0,1.182032585144043,ds,"64,64",40000,ddim,clap-laion-audio,fma_pop
113,1716266861.3618274,0,1.1312260627746582,ds,"64,64",40000,ddim,clap-laion-music,fma_pop
114,1716266887.6901112,0,122.06409454345703,ds,"64,64",40000,ddim,encodec-emb-48k,fma_pop
115,1716266890.166457,0,822.318603515625,ds,"64,64",40000,ddim,encodec-emb,fma_pop
116,1716266893.458115,0,62.170772552490234,ds,"64,64",40000,ddim,MERT-v1-95M,fma_pop
117,1716266896.2547047,0,1.1454108953475952,ds,"64,64",40000,ddim,clap-laion-audio,musiccaps
