,wall_time,step,value,dataset,resolution,model_step,sampler,vae,num_fad_samples,fad_model,reference_dataset
84,1716685436.6996636,0,0.7399269342422485,ssd,256,40000,ddpm,,1120,clap-laion-audio,fma_pop
85,1716685439.4446573,0,0.8322897553443909,ssd,256,40000,ddpm,,1120,clap-laion-music,fma_pop
86,1716685441.815636,0,11.576062202453613,ssd,256,40000,ddpm,,1120,vggish,fma_pop
87,1716685444.4450238,0,0.7016832232475281,ssd,256,40000,ddpm,,1120,clap-laion-audio,musiccaps
88,1716685447.1007156,0,0.8067640066146851,ssd,256,40000,ddpm,,1120,clap-laion-music,musiccaps
89,1716685449.4029837,0,15.561182022094727,ssd,256,40000,ddpm,,1120,vggish,musiccaps
90,1716685345.149796,0,0.5817588567733765,ssd,256,40000,ddpm,,320,clap-laion-audio,spotify_sleep_dataset
91,1716685385.6851075,0,0.5826330184936523,ssd,256,40000,ddpm,,320,clap-laion-music,spotify_sleep_dataset
92,1716685413.5841787,0,5.878549098968506,ssd,256,40000,ddpm,,320,vggish,spotify_sleep_dataset
93,1716685416.6559846,0,0.7539893984794617,ssd,256,40000,ddpm,,320,clap-laion-audio,fma_pop
94,1716685419.6875503,0,0.8501642942428589,ssd,256,40000,ddpm,,320,clap-laion-music,fma_pop
95,1716685422.087986,0,11.745561599731445,ssd,256,40000,ddpm,,320,vggish,fma_pop
96,1716685425.055653,0,0.7156561613082886,ssd,256,40000,ddpm,,320,clap-laion-audio,musiccaps
97,1716685427.8688867,0,0.8283220529556274,ssd,256,40000,ddpm,,320,clap-laion-music,musiccaps
98,1716685430.1380885,0,15.804516792297363,ssd,256,40000,ddpm,,320,vggish,musiccaps
99,1716685473.2603674,0,0.580532968044281,ssd,256,40000,ddpm,,800,clap-laion-audio,spotify_sleep_dataset
100,1716685527.4704313,0,0.5844353437423706,ssd,256,40000,ddpm,,800,clap-laion-music,spotify_sleep_dataset
101,1716685555.9470875,0,5.936166286468506,ssd,256,40000,ddpm,,800,vggish,spotify_sleep_dataset
102,1716685558.6792297,0,0.7417980432510376,ssd,256,40000,ddpm,,800,clap-laion-audio,fma_pop
103,1716685561.496965,0,0.8350386023521423,ssd,256,40000,ddpm,,800,clap-laion-music,fma_pop
104,1716685563.9518225,0,11.555739402770996,ssd,256,40000,ddpm,,800,vggish,fma_pop
105,1716685566.6169615,0,0.7045729756355286,ssd,256,40000,ddpm,,800,clap-laion-audio,musiccaps
106,1716685569.2369437,0,0.810940682888031,ssd,256,40000,ddpm,,800,clap-laion-music,musiccaps
107,1716685571.4988737,0,15.563913345336914,ssd,256,40000,ddpm,,800,vggish,musiccaps
108,1716685469.693216,0,0.5693066120147705,ssd,256,40000,ddpm,,640,clap-laion-audio,spotify_sleep_dataset
109,1716685516.2817912,0,0.5724787712097168,ssd,256,40000,ddpm,,640,clap-laion-music,spotify_sleep_dataset
110,1716685546.913378,0,5.605443954467773,ssd,256,40000,ddpm,,640,vggish,spotify_sleep_dataset
111,1716685555.5809474,0,0.7354791760444641,ssd,256,40000,ddpm,,640,clap-laion-audio,fma_pop
