,wall_time,step,value,dataset,resolution,model_step,sampler,vae,fad_model,reference_dataset
123,1716553484.3589988,0,17.041006088256836,ssd,"256,256",500,ddim,vae,vggish,musiccaps
124,1716553059.1291041,0,0.8376117944717407,ssd,"256,256",1000,ddpm,vae,clap-laion-audio,fma_pop
125,1716553064.9838302,0,1.01649010181427,ssd,"256,256",1000,ddpm,vae,clap-laion-music,fma_pop
126,1716553068.3646064,0,13.825111389160156,ssd,"256,256",1000,ddpm,vae,vggish,fma_pop
127,1716553071.0874643,0,0.7899302840232849,ssd,"256,256",1000,ddpm,vae,clap-laion-audio,musiccaps
128,1716553073.8314636,0,1.0002387762069702,ssd,"256,256",1000,ddpm,vae,clap-laion-music,musiccaps
129,1716553076.2780542,0,17.134700775146484,ssd,"256,256",1000,ddpm,vae,vggish,musiccaps
130,1716553061.0275223,0,0.8553454279899597,ssd,"256,256",1000,ddim,vae,clap-laion-audio,fma_pop
131,1716553066.9770503,0,1.011916160583496,ssd,"256,256",1000,ddim,vae,clap-laion-music,fma_pop
132,1716553070.3826525,0,14.329754829406738,ssd,"256,256",1000,ddim,vae,vggish,fma_pop
133,1716553073.0748427,0,0.8105397820472717,ssd,"256,256",1000,ddim,vae,clap-laion-audio,musiccaps
134,1716553075.771514,0,1.0036168098449707,ssd,"256,256",1000,ddim,vae,clap-laion-music,musiccaps
135,1716553078.0864954,0,17.74837303161621,ssd,"256,256",1000,ddim,vae,vggish,musiccaps
136,1716553458.0255032,0,0.8081029653549194,ssd,"256,256",2500,ddpm,vae,clap-laion-audio,fma_pop
137,1716553463.5438585,0,1.0034199953079224,ssd,"256,256",2500,ddpm,vae,clap-laion-music,fma_pop
138,1716553466.8188941,0,13.352254867553711,ssd,"256,256",2500,ddpm,vae,vggish,fma_pop
139,1716553469.4648538,0,0.763816773891449,ssd,"256,256",2500,ddpm,vae,clap-laion-audio,musiccaps
140,1716553472.1104417,0,1.0015751123428345,ssd,"256,256",2500,ddpm,vae,clap-laion-music,musiccaps
141,1716553474.3984094,0,16.943859100341797,ssd,"256,256",2500,ddpm,vae,vggish,musiccaps
142,1716553470.2183022,0,0.8325340151786804,ssd,"256,256",2500,ddim,vae,clap-laion-audio,fma_pop
143,1716553476.0985434,0,1.0021443367004395,ssd,"256,256",2500,ddim,vae,clap-laion-music,fma_pop
144,1716553479.5308342,0,13.891393661499023,ssd,"256,256",2500,ddim,vae,vggish,fma_pop
145,1716553482.27717,0,0.7906892895698547,ssd,"256,256",2500,ddim,vae,clap-laion-audio,musiccaps
146,1716553485.0287695,0,1.0136388540267944,ssd,"256,256",2500,ddim,vae,clap-laion-music,musiccaps
147,1716553487.357351,0,17.734277725219727,ssd,"256,256",2500,ddim,vae,vggish,musiccaps
