,Unnamed: 0,file_path,noise_level,bin,type
70,757,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddpm_nisteps_1000/audio_406.wav,-68.38887,0,ddpm
71,1099,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddim_nisteps_100/audio_787.wav,-68.30029,0,ddim
72,637,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddpm_nisteps_1000/audio_115.wav,-68.07657,0,ddpm
73,379,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddpm_nisteps_1000/audio_50.wav,-68.04871,0,ddpm
74,122,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddpm_nisteps_1000/audio_792.wav,-68.002,0,ddpm
75,271,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddpm_nisteps_1000/audio_768.wav,-67.97861,0,ddpm
76,1750,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddim_nisteps_100/audio_224.wav,-67.9704,0,ddim
77,601,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddpm_nisteps_1000/audio_551.wav,-67.95389,0,ddpm
78,264,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddpm_nisteps_1000/audio_141.wav,-67.837296,0,ddpm
79,1262,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddim_nisteps_100/audio_366.wav,-67.83269,0,ddim
80,1607,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddim_nisteps_100/audio_827.wav,-67.76077,0,ddim
81,1807,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddim_nisteps_100/audio_52.wav,-67.4763,0,ddim
82,862,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddim_nisteps_100/audio_283.wav,-67.43257,0,ddim
83,1787,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddim_nisteps_100/audio_375.wav,-67.41695,0,ddim
84,1540,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddim_nisteps_100/audio_281.wav,-67.30275,0,ddim
85,1359,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddim_nisteps_100/audio_937.wav,-67.23578,0,ddim
86,1752,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddim_nisteps_100/audio_761.wav,-67.10228,0,ddim
87,1140,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddim_nisteps_100/audio_841.wav,-67.10217,0,ddim
88,543,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddpm_nisteps_1000/audio_757.wav,-67.10074,0,ddpm
